식품명,데이터구분명,식품기원코드,식품기원명,식품대분류코드,식품대분류명,대표식품명,식품중분류명,식품소분류명,식품세분류명,영양성분함량기준량,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),출처명,식품중량
다시마튀각,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,다시마튀각,해당없음,해당없음,해당없음,100ml,232,2.3,1.4,18.32,,20.02,11.82,6.8,135,1.21,35,1425,589,9,0,109,0.042,0.153,0.855,3.42,0,0,2.7,,식품의약품안전처,22.1m
닭튀김,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,닭튀김,해당없음,해당없음,해당없음,100ml,183,34.9,9.5,11.67,,8.5,0.18,0.2,10,0.51,103,43,192,24,24,0,0.104,0.107,1.285,0.1,0.01,36.81,2.34,,식품의약품안전처,80ml
닭튀김_양념,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,닭튀김,양념,해당없음,해당없음,100ml,183,36.3,8,9.79,,14.94,3.94,0.9,13,0.5,96,107,289,35,19,201,0.105,0.114,1.209,0.82,0.01,28.69,1.94,,식품의약품안전처,80ml
돈가스,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,돈가스,해당없음,해당없음,해당없음,100ml,148,28.5,9.1,7.61,,9.47,0.52,0.5,8,0.4,91,133,118,8,8,0,0.123,0.09,0.734,3.57,0.12,37.55,1.58,,식품의약품안전처,100ml
동태까스_소스,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,동태까스,소스,해당없음,해당없음,100ml,273,59.8,11.6,15.64,,19.42,2.61,1.3,38,0.52,140,176,385,17,15,25,0.084,0.113,0.654,6.66,0.36,53.42,2.52,,식품의약품안전처,90ml
떡강정,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,떡강정,해당없음,해당없음,해당없음,100ml,202,32,2.5,5.09,,36.43,2.39,0.8,9,0.13,34,54,282,8,0,92,0.02,0.021,0.092,0.48,0,0,0.82,,식품의약품안전처,103.1
라조기,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,라조기,해당없음,해당없음,해당없음,100ml,187,59.8,13.5,5.62,,19.08,4.35,0.9,14,0.82,84,252,216,52,33,227,0.135,0.158,1.562,3.67,0.09,57.02,0.96,,식품의약품안전처,67.1m
북어강정,음식,5,초등학교급식(재료량 기반 산출 함량),12,튀김류,북어강정,해당없음,해당없음,해당없음,100ml,320,46.6,13.9,16.4,,28.5,5,2,41,0.69,153,252,1753,44,0,533,0.179,0.199,1.246,0.03,0.35,37.89,2.45,,식품의약품안전처,26.7m
오징어조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,오징어조림,해당없음,해당없음,해당없음,100ml,66,60.8,8.3,0.93,,6.07,1.88,0.7,15,0.27,129,262,293,8,0,98,0.047,0.121,0.183,3.3,2.39,91.33,0.2,,식품의약품안전처,123.7
우엉조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,우엉조림,해당없음,해당없음,해당없음,100ml,104,43.1,3.69,2.98,,16.51,4.62,2.3,28,0.67,73,243,356,0,0,0,0.02,0.2,0.551,0.38,0,2.87,0.6,,식품의약품안전처,40ml
장조림_돼지고기_메추리알,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,장조림,돼지고기,메추리알,해당없음,100ml,117,55.1,12.37,5.06,,4.53,1.49,0.2,19,1.01,142,201,257,45,44,12,0.277,0.256,1.682,1.26,0.72,110.24,1.71,,식품의약품안전처,100ml
쥐포조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,쥐포조림,해당없음,해당없음,해당없음,100ml,140,10.5,11.9,3.02,,16.76,9.52,0.4,42,0.29,112,185,461,10,1,105,0.029,0.121,1.26,0.3,8.93,28.62,0.52,,식품의약품안전처,50ml
코다리조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,코다리조림,해당없음,해당없음,해당없음,100ml,68,40.3,10.1,1.18,,3.86,1.1,0.5,21,0.32,107,154,308,7,0,80,0.081,0.166,0.843,0.49,0.3,32.14,0.17,,식품의약품안전처,50ml
코다리조림_무,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,코다리조림,무,해당없음,해당없음,100ml,38,31.4,5.5,0.71,,2.29,0.76,0.4,14,0.18,60,106,144,4,0,50,0.05,0.082,0.465,0.96,0.16,17.3,0.1,,식품의약품안전처,200ml
고구마조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,고구마조림,해당없음,해당없음,해당없음,100ml,167,79.7,2.5,0.59,,38.6,11.06,3.8,28,0.74,74,456,839,64,0,765,0.076,0.268,0.93,8.7,0,0,0.12,,식품의약품안전처,89.4m
곤약조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,곤약조림,해당없음,해당없음,해당없음,100ml,43,113.6,1.1,1.99,,7.17,2.05,3,88,0.35,25,60,336,0,0,0,0.008,0.263,0.141,0.2,0,0,0.31,,식품의약품안전처,95.8m
꽈리고추 오징어조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,꽈리고추 오징어조림,해당없음,해당없음,해당없음,100ml,135,34.2,14.3,5.67,,6.39,3.45,1.1,60,0.85,184,259,388,12,0,144,0.052,0.172,1.954,17.33,4.33,182.89,0.98,,식품의약품안전처,87.7m
단호박조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,단호박조림,해당없음,해당없음,해당없음,100ml,99,94.8,3.1,1.29,,21.41,6.2,6.3,28,0.79,74,565,1136,319,0,3834,0.054,0.452,0.962,12,0,0,0.23,,식품의약품안전처,65.4m
닭다리조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,닭다리조림,해당없음,해당없음,해당없음,100ml,179,77.6,14,8.87,,9.13,3.22,1.6,23,0.66,151,305,153,95,28,796,0.133,0.215,3.507,1.28,0,55.34,2.67,,식품의약품안전처,80.4m
돼지고기 장조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,돼지고기 장조림,해당없음,해당없음,해당없음,100ml,133,62.4,15.4,4.84,,5.93,2.67,0.3,10,0.66,148,279,349,8,4,56,0.414,0.263,2.657,1.29,0.45,45.3,1.7,,식품의약품안전처,60ml
돼지고기 장조림_메추리알,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,돼지고기 장조림,메추리알,해당없음,해당없음,100ml,127,59.7,13.6,5.01,,5.74,2.2,0.3,16,0.87,144,239,317,31,26,60,0.349,0.26,2.133,1.36,0.62,81.07,1.73,,식품의약품안전처,60ml
마늘쫑조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,마늘쫑조림,해당없음,해당없음,해당없음,100ml,217,140.8,4.9,10.6,,31.38,10.19,7,93,1.16,109,426,956,50,0,599,0.04,0.464,1.293,62.27,0,0,1.62,,식품의약품안전처,46.1m
메추리알 돼지고기장조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,메추리알 돼지고기장조림,해당없음,해당없음,해당없음,100ml,118,55,12.3,5.18,,4.53,1.49,0.2,20,1.01,141,201,258,46,45,12,0.307,0.242,1.847,1.31,0.74,110.3,1.76,,식품의약품안전처,100ml
메추리알 어묵조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,메추리알 어묵조림,해당없음,해당없음,해당없음,100ml,227,94.3,13.3,9.37,,22.09,10.22,0.8,66,2.13,220,241,1141,89,84,54,0.104,0.631,0.741,4.59,0.95,291.19,2.38,,식품의약품안전처,28.6m
메추리알장조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,메추리알장조림,해당없음,해당없음,해당없음,100ml,151,79.8,11.3,6.79,,8.89,2.55,0.4,51,2.2,195,217,983,147,146,21,0.193,0.565,0.371,0.56,1.34,301.21,2.15,,식품의약품안전처,61.5m
삶은 땅콩 조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,삶은 땅콩 조림,해당없음,해당없음,해당없음,100ml,190,25.9,6.8,9.74,,21.15,3.82,4,27,0.59,101,122,756,0,0,0,0.119,0.172,2.444,0,0,0,1.35,,식품의약품안전처,65.5m
감자조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,감자조림,해당없음,해당없음,해당없음,100ml,92,56.1,1.8,2.49,,15.95,2.25,1.8,10,0.47,31,286,233,5,0,60,0.044,0.108,0.289,6.65,0,0,0.38,,식품의약품안전처,60ml
고등어조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,고등어조림,해당없음,해당없음,해당없음,100ml,114,62.1,10.2,4.99,,6.06,2.14,0.8,20,0.92,128,261,205,19,11,94,0.11,0.304,4.034,4.64,1.74,28.57,1.27,,식품의약품안전처,85.4m
고등어조림_무,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,고등어조림,무,해당없음,해당없음,100ml,94,55.7,8.4,4.27,,5.02,2.02,1.1,20,0.83,110,260,310,20,8,141,0.093,0.298,3.306,3.08,1.52,22.26,1.09,,식품의약품안전처,95ml
고등어조림_배추김치,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,고등어조림,배추김치,해당없음,해당없음,100ml,104,62.2,7.92,5.38,,5.8,2.47,1.5,32,0.85,105,241,335,23,8,182,0.102,0.232,3.076,3.05,1.33,21.49,1.19,,식품의약품안전처,110ml
꽁치조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,꽁치조림,해당없음,해당없음,해당없음,100ml,131,96.2,18.1,3.58,,4.51,1.73,0.6,42,1.48,206,248,368,17,16,11,0.042,0.333,4.978,3.93,12.02,51.84,0.68,,식품의약품안전처,78.7m
달걀조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,달걀조림,해당없음,해당없음,해당없음,100ml,84,42,6.9,3.9,,4.63,2.77,0.1,25,1.06,95,105,511,57,57,1,0.036,0.319,0.139,0,0.49,143.21,1.22,,식품의약품안전처,79.7m
닭도리탕,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,닭도리탕,해당없음,해당없음,해당없음,100ml,49,29.9,5,1.24,,4.2,1.15,0.6,5,0.33,30,133,84,26,9,210,0.059,0.062,0.655,1.48,0,12.33,0.19,,식품의약품안전처,237.3
닭조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,닭조림,해당없음,해당없음,해당없음,100ml,111,60.2,10.5,3.63,,8.84,2.5,1,11,0.61,87,222,214,46,20,319,0.114,0.141,1.836,2.51,0,33.99,0.94,,식품의약품안전처,120ml
동태조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,동태조림,해당없음,해당없음,해당없음,100ml,116,95.9,18.8,2.36,,4.86,0.58,1.7,86,0.78,259,397,712,27,9,213,0.136,0.41,1.649,0.26,0.5,59.85,0.33,,식품의약품안전처,61.8m
두부조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,두부조림,해당없음,해당없음,해당없음,100ml,133,80.8,9.39,6.87,,8.15,1.7,3.2,64,1.58,158,183,279,9,0,107,0.043,0.273,0.322,0.61,0,0,1.04,,식품의약품안전처,60ml
두부조림_돼지고기,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,두부조림,돼지고기,해당없음,해당없음,100ml,175,109.1,14.7,9.37,,7.09,1.51,3.2,57,1.58,204,314,517,8,1,89,0.204,0.376,1.194,1.61,0.06,13.91,1.66,,식품의약품안전처,74.8m
땅콩조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,땅콩조림,해당없음,해당없음,해당없음,100ml,268,9.2,12,19.42,,15.91,4.37,6.1,34,1.47,199,360,247,0,0,2,0.177,0.191,4.767,0.02,0,0,3.65,,식품의약품안전처,15ml
멸치조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,멸치조림,해당없음,해당없음,해당없음,100ml,150,18.2,15,6.69,,6.5,3.2,0.1,212,0.43,284,207,1121,0,0,0,0.012,0.144,0.973,0.14,5.74,37.67,1.17,,식품의약품안전처,60ml
무조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,무조림,해당없음,해당없음,해당없음,100ml,48,108.8,2.6,0.74,,8.69,2.42,2,42,0.63,75,423,1135,17,0,206,0.088,0.346,0.49,7.22,0,0,0.14,,식품의약품안전처,65.8m
미트볼조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,미트볼조림,해당없음,해당없음,해당없음,100ml,156,46.9,5.8,8.14,,16.1,6.9,7.1,15,0.52,55,166,501,23,14,108,0.083,0.167,1.203,1.21,0.05,16.71,2.68,,식품의약품안전처,72.8m
삼치조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,삼치조림,해당없음,해당없음,해당없음,100ml,185,87.3,19,7.12,,8.91,3.88,0.4,10,0.31,207,414,364,0,0,2,0.082,0.183,0.113,0.72,6.32,64.96,1.33,,식품의약품안전처,62.6m
어묵조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,어묵조림,해당없음,해당없음,해당없음,100ml,166,48.5,8.4,6.88,,17.71,4.54,0.7,36,0.54,90,135,741,24,16,99,0.01,0.147,0.395,0.22,0,13.1,1.12,,식품의약품안전처,52.4m
연근조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,연근조림,해당없음,해당없음,해당없음,100ml,76,38.7,1.32,0.98,,15.97,3.73,1.5,17,0.46,43,231,277,0,0,0,0.042,0.159,0.15,11.96,0,0,0.15,,식품의약품안전처,60ml
모듬버섯볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,모듬버섯볶음,해당없음,해당없음,해당없음,100ml,69,85,3,4.56,,6.82,2,2.6,13,0.61,74,257,430,23,0,270,0.067,0.181,2.795,3.99,0,2.13,0.75,,식품의약품안전처,100ml
부추잡채,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,부추잡채,해당없음,해당없음,해당없음,100ml,75,44.9,4.9,4.36,,3.89,2.71,1.1,13,0.85,55,113,177,32,1,382,0.145,0.122,0.78,1.72,0.04,9.29,0.82,,식품의약품안전처,86.5m
브로콜리 버섯볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,브로콜리 버섯볶음,해당없음,해당없음,해당없음,100ml,24,36.1,1.3,1.15,,2.99,0.59,1.2,17,0.25,30,121,140,12,0,145,0.016,0.06,0.861,6.49,0,0.63,0.2,,식품의약품안전처,50ml
세발낙지볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,세발낙지볶음,해당없음,해당없음,해당없음,100ml,88,110.5,11.6,0.9,,8.35,3.09,1.2,27,0.73,159,354,367,24,0,291,0.077,0.117,1.699,1.7,0,85.95,0.27,,식품의약품안전처,110ml
소고기채소볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소고기채소볶음,해당없음,해당없음,해당없음,100ml,198,91.4,8.4,14.99,,7.24,4.57,1.8,25,1.31,110,315,478,59,11,571,0.044,0.306,1.698,5.98,0,33.22,5.15,,식품의약품안전처,65.5m
소시지 케첩볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소시지 케첩볶음,해당없음,해당없음,해당없음,100ml,127,34.8,5.4,9.1,,5.84,2.17,0.5,14,0.3,76,172,308,3,0,32,0.106,0.052,1.214,12.8,0.12,21.42,2.41,,식품의약품안전처,88.6m
양념두부,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,양념두부,해당없음,해당없음,해당없음,100ml,68,51.3,6.2,3.39,,2.99,0.09,2,41,1.02,103,105,105,3,0,39,0.023,0.157,0.171,0,0,0,0.51,,식품의약품안전처,66.4m
양송이버섯볶음_소고기,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,양송이버섯볶음,소고기,해당없음,해당없음,100ml,84,57.3,4.1,6.3,,3.85,1.63,1.2,13,0.76,73,229,295,38,4,414,0.035,0.276,1.8,1.13,0,11.08,1.92,,식품의약품안전처,82.7m
어묵 감자볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,어묵 감자볶음,해당없음,해당없음,해당없음,100ml,208,73.5,8.2,9.12,,23.52,4.32,1.3,37,0.61,88,239,556,17,15,17,0.027,0.075,0.38,3.96,0,12.32,1.45,,식품의약품안전처,41.1m
어묵잡채,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,어묵잡채,해당없음,해당없음,해당없음,100ml,128,48.1,6.7,6.55,,10.14,2.26,0.6,27,0.6,75,121,432,37,12,297,0.011,0.108,0.446,1.45,0,15.81,1.73,,식품의약품안전처,99.6m
우엉볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,우엉볶음,해당없음,해당없음,해당없음,100ml,65,32,1.7,3.72,,6.6,1.11,2,25,0.45,45,180,185,5,0,55,0.018,0.145,0.185,0.41,0,0,0.56,,식품의약품안전처,80.9m
제육볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,제육볶음,해당없음,해당없음,해당없음,100ml,103,51.8,10.2,4.43,,5.33,2.5,0.8,10,0.48,101,228,235,33,2,366,0.308,0.124,2.495,1.8,0.28,28.73,1.43,,식품의약품안전처,70ml
제육볶음_채소,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,제육볶음,채소,해당없음,해당없음,100ml,120,56.9,11.4,5.19,,6.51,3.03,0.8,11,0.53,112,249,212,36,3,400,0.342,0.12,2.745,1.88,0.33,32.78,1.77,,식품의약품안전처,110ml
제육볶음_오징어,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,제육볶음,오징어,해당없음,해당없음,100ml,148,60.4,11.2,8.04,,7.13,3.31,0.9,13,0.44,137,266,280,39,4,422,0.257,0.127,1.462,1.98,1.56,74.21,2.91,,식품의약품안전처,110ml
콩나물잡채,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,콩나물잡채,해당없음,해당없음,해당없음,100ml,43,49.4,2.2,2.49,,4.04,1.97,1,26,0.38,45,130,121,29,0,347,0.051,0.096,0.365,1.45,0,0,0.39,,식품의약품안전처,79ml
폭찹,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,폭찹,해당없음,해당없음,해당없음,100ml,124,56.5,12.2,5.35,,5.73,3.49,0.8,8,0.29,122,275,164,9,2,88,0.33,0.099,1.733,3.41,0.13,27.47,1.3,,식품의약품안전처,99ml
피망볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,피망볶음,해당없음,해당없음,해당없음,100ml,84,51.4,1.3,5.33,,8.08,1.72,1.5,13,0.41,28,134,335,8,0,99,0.014,0.15,0.548,10.21,0,0,0.79,,식품의약품안전처,42.9m
가자미조림,음식,5,초등학교급식(재료량 기반 산출 함량),11,조림류,가자미조림,해당없음,해당없음,해당없음,100ml,174,85.5,23.9,5.28,,7.14,2.59,1.7,78,1.22,242,522,691,24,8,191,0.215,0.587,4.72,2.21,15.82,96.56,0.9,,식품의약품안전처,67ml
잔멸치볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,해당없음,해당없음,해당없음,100ml,130,11.7,10.4,6.51,,6.66,2.5,0.1,152,0.27,200,135,630,0,0,0,0.009,0.046,0.655,0.1,4.1,103.3,1.11,,식품의약품안전처,42ml
잔멸치볶음_간장_고추장,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,간장,고추장,해당없음,100ml,109,13.9,11.3,3.89,,6.7,2.71,0.2,163,0.34,215,157,788,4,0,44,0.018,0.085,0.741,0.06,4.33,109.19,0.65,,식품의약품안전처,110ml
잔멸치볶음_견과류,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,견과류,해당없음,해당없음,100ml,120,7.8,7,7.15,,7.25,2.34,0.8,95,0.47,141,119,374,0,0,3,0.016,0.106,0.618,0.12,2.08,52.42,0.97,,식품의약품안전처,50ml
잔멸치볶음_고추장,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,고추장,해당없음,해당없음,100ml,231,22.2,17,10.22,,17.05,7.22,0.4,243,0.5,324,243,1213,10,0,122,0.033,0.118,1.112,0.14,6.58,165.79,1.75,,식품의약품안전처,35ml
잔멸치볶음_꽈리고추,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,꽈리고추,해당없음,해당없음,100ml,90,16.4,7.1,3.61,,7.16,2.3,0.4,102,0.28,137,120,482,3,0,40,0.014,0.074,0.534,4.85,2.62,65.95,0.64,,식품의약품안전처,40ml
잔멸치볶음_잔멸치_견과류,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,잔멸치,견과류,해당없음,100ml,120,7.8,7.04,7.14,,7.24,2.34,0.8,95,0.47,141,119,373,0,0,3,0.016,0.105,0.615,0.12,2.08,52.42,0.96,,식품의약품안전처,50ml
잔멸치볶음_잔멸치_꽈리고추,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,잔멸치,꽈리고추,해당없음,100ml,90,16.4,7.08,3.61,,7.16,2.3,0.4,102,0.28,137,120,482,3,0,40,0.014,0.074,0.534,4.85,2.62,65.95,0.63,,식품의약품안전처,40ml
잔멸치볶음_풋고추,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잔멸치볶음,풋고추,해당없음,해당없음,100ml,93,21.4,9.6,3.28,,5.97,2.01,0.5,135,0.33,183,160,706,3,0,39,0.012,0.084,0.659,3.75,3.59,90.41,0.57,,식품의약품안전처,110ml
잡채_돼지고기,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잡채,돼지고기,해당없음,해당없음,100ml,93,36.5,3.02,2.49,,14.87,2.13,1,22,0.93,44,146,216,47,1,557,0.055,0.119,0.748,3.66,0.02,5.73,0.45,,식품의약품안전처,100ml
잡채_버섯_소고기,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잡채,버섯,소고기,해당없음,100ml,129,54.3,3.2,5.54,,17.88,2.44,2.4,36,1.32,59,181,287,50,3,569,0.042,0.206,1.404,1.32,0.08,8.13,1.54,,식품의약품안전처,97.6m
잡채_소고기,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,잡채,소고기,해당없음,해당없음,100ml,106,38.2,2.84,3.24,,16.78,2.33,1.2,27,1.18,45,161,249,56,1,650,0.029,0.135,0.752,4.62,0.02,7,0.71,,식품의약품안전처,90ml
파래볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,파래볶음,해당없음,해당없음,해당없음,100ml,61,48.7,1.2,5.95,,1.85,0.07,1.1,28,2.05,21,73,60,0,0,5,0.146,0.072,0.008,17.9,0,0,0.89,,식품의약품안전처,50.7m
표고버섯볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,표고버섯볶음,해당없음,해당없음,해당없음,100ml,35,54.6,1.7,2.11,,3.96,0.92,1.9,8,0.42,26,122,143,13,0,153,0.042,0.118,1.686,1.11,0,1.85,0.34,,식품의약품안전처,110ml
해물볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,해물볶음,해당없음,해당없음,해당없음,100ml,62,45.6,6.8,2.22,,3.5,0.57,0.6,15,0.79,104,194,540,36,2,406,0.026,0.06,0.428,3.89,1.33,63.78,0.39,,식품의약품안전처,136.3
햄채소볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,햄채소볶음,해당없음,해당없음,해당없음,100ml,296,129,11.6,21.92,,14.04,8.28,2.9,38,0.81,183,524,594,61,4,685,0.378,0.274,2.926,30.43,0,24.22,5.17,,식품의약품안전처,34.9m
김치 돼지고기볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,김치 돼지고기볶음,해당없음,해당없음,해당없음,100ml,113,69.8,8.1,6.61,,4.26,2.27,2,25,0.48,96,284,294,18,4,179,0.253,0.122,1.44,2.28,0.2,24.12,2.44,,식품의약품안전처,50ml
돼지고기 피망잡채,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,돼지고기 피망잡채,해당없음,해당없음,해당없음,100ml,95,60.9,9.5,3.95,,5.09,2.07,0.9,9,0.53,97,225,266,22,1,246,0.283,0.112,2.539,8.38,0.25,26.49,1.11,,식품의약품안전처,170ml
매운 어묵볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,매운 어묵볶음,해당없음,해당없음,해당없음,100ml,90,31.1,5.1,2.93,,11.02,2.38,0.5,23,0.32,55,81,397,16,10,78,0.009,0.064,0.238,0.27,0,8.01,0.5,,식품의약품안전처,100ml
미역줄기볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,미역줄기볶음,해당없음,해당없음,해당없음,100ml,95,81.5,2.5,7.47,,6.56,1.23,3.8,103,0.47,61,1352,474,39,1,458,0.037,0.08,0.817,10.71,0,1.26,1.07,,식품의약품안전처,30ml
삼겹살볶음_세발낙지,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,삼겹살볶음,세발낙지,해당없음,해당없음,100ml,241,68.1,9.9,18.59,,8.87,5.43,1.1,17,0.52,122,266,310,38,8,353,0.29,0.149,1.147,1.31,0.3,54.97,6.87,,식품의약품안전처,89.9m
소고기볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소고기볶음,해당없음,해당없음,해당없음,100ml,237,62.1,10.6,19.41,,2.71,1.33,0.7,13,1.59,109,227,297,42,17,304,0.025,0.282,1.261,2.48,0,50.29,7.29,,식품의약품안전처,94.2m
소고기볶음_고추장,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소고기볶음,고추장,해당없음,해당없음,100ml,154,34.6,5.7,11.51,,7.09,3.16,0.6,10,0.88,59,135,210,25,9,196,0.045,0.154,0.694,0.98,0,26.26,4.02,,식품의약품안전처,92.9m
소고기볶음_버섯,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소고기볶음,버섯,해당없음,해당없음,100ml,72,38.4,6.2,3.53,,3.97,1.25,0.5,7,0.83,64,142,127,13,2,126,0.031,0.113,1.065,1.71,0,16.91,1.31,,식품의약품안전처,180ml
소고기볶음_채소,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소고기볶음,채소,해당없음,해당없음,100ml,73,38.4,6.2,3.53,,3.97,1.24,0.5,7,0.82,65,142,127,13,2,126,0.031,0.112,1.054,1.72,0,16.91,1.31,,식품의약품안전처,180ml
소시지볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소시지볶음,해당없음,해당없음,해당없음,100ml,136,40,6.5,8.32,,9.04,2.62,0.7,17,0.38,95,202,415,15,1,172,0.135,0.079,1.538,17.76,0.12,25.55,2.48,,식품의약품안전처,100ml
소시지볶음_채소,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,소시지볶음,채소,해당없음,해당없음,100ml,138,40,6.54,8.32,,9.03,2.68,0.6,17,0.38,95,202,415,15,1,172,0.135,0.079,1.538,17.76,0.12,25.55,2.48,,식품의약품안전처,100ml
순대볶음,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,순대볶음,해당없음,해당없음,해당없음,100ml,101,41.8,3.16,4.53,,12.3,2.36,2.5,27,2.96,42,133,260,36,0,431,0.248,0.114,1.177,1.83,0,2.48,1.68,,식품의약품안전처,130ml
순대볶음_채소,음식,5,초등학교급식(재료량 기반 산출 함량),10,볶음류,순대볶음,채소,해당없음,해당없음,100ml,100,39.9,1.9,2.77,,17.25,2.29,1.1,20,1.2,25,87,324,33,0,396,0.048,0.059,0.461,1.88,0,13.2,0.69,,식품의약품안전처,130ml
